806-49-7942,268485375
392-52-7176,268480804
692-38-3827,268500684
858-54-4075,268497667
260-71-8148,268489974
260-71-8148,268494440
215-46-0151,268506004
213-32-1448,268483534
858-93-2794,268492382
400-15-2581,268500208
436-67-3063,268509364
765-24-1639,268482561
585-01-6112,268486187
699-67-1766,268500726
528-85-4153,268501139
428-68-7549,268505675
430-16-3985,268489848
508-75-5974,268506179
800-46-2184,268484927
895-45-1258,268485928
687-34-2480,268482190
329-25-8167,268491976
598-89-4448,268495966
651-47-1970,268483170
364-47-2445,268502105
761-47-7037,268485557
341-10-3619,268503526
520-74-1446,268509847
214-77-6416,268487643
627-15-0737,268495154
284-01-5241,268502840
346-96-9018,268501447
537-27-1654,268482834
308-26-6839,268509868
270-75-5897,268503001
508-75-5974,268482575
543-43-9738,268505892
888-09-8856,268498451
709-43-8302,268487881
784-43-0212,268487489
528-85-4153,268487489
535-67-6237,268480916
554-93-4466,268481119
271-53-9609,268494769
240-77-5251,268491626
632-68-0917,268493572
763-27-9872,268503645
458-11-9205,268484577
244-58-2483,268507243
694-00-4113,268503820
819-35-6503,268500929
243-46-3035,268481546
859-40-9947,268503365
660-53-6807,268485039
885-46-4577,268494307
274-27-6513,268495812
651-47-1970,268505640
694-81-0546,268483849
307-09-8719,268495392
497-20-7808,268499641
795-37-7998,268485263
568-22-7686,268500873
520-74-1446,268505150
706-24-9599,268510120
323-71-3763,268487888
537-30-3032,268505346
744-46-9190,268495112
910-33-1979,268507635
289-76-4820,268503281
302-08-4754,268498661
598-89-4448,268493768
673-48-8212,268504821
436-38-3179,268493852
378-88-6858,268480944
446-63-4367,268506172
503-57-3996,268484360
219-06-7487,268490408
341-10-3619,268484003
859-55-6280,268494265
520-24-8922,268506893
622-53-3302,268496568
760-58-1758,268483989
481-52-1716,268501636
900-49-2935,268497527
204-79-2659,268499417
800-78-8581,268498381
520-50-0673,268494363
596-71-0231,268492221
824-65-1090,268495623
681-29-5922,268481777
483-40-6408,268510015
305-25-0352,268507614
690-37-4924,268492550
323-71-3763,268485193
577-47-4459,268496715
885-46-4577,268493348
641-52-2437,268505906
852-52-0933,268489267
304-37-2483,268496701
370-83-8697,268501020
777-00-7153,268498668
675-57-0293,268496869
649-24-1018,268489946
824-65-1090,268484731
520-74-1446,268492767
545-33-7212,268506368
517-87-6459,268488924
838-11-7607,268486852
853-69-5350,268487776
689-65-9692,268507614
446-36-0249,268507754
803-26-5349,268499025
436-67-3063,268505213
690-37-4924,268505493
234-37-9132,268482750
786-70-5968,268509931
563-60-8705,268502315
759-01-0406,268503729
338-31-6051,268497653
612-83-6356,268489365
913-69-6997,268497835
434-76-7869,268497835
444-08-9581,268485445
871-98-0966,268482568
303-86-0371,268498710
431-33-8884,268481420
490-89-5771,268482806
209-45-4933,268488287
786-70-5968,268484689
778-24-6852,268507075
770-22-6561,268490870
507-22-5331,268491640
659-27-7887,268503260
709-64-4352,268486313
520-24-8922,268496855
855-81-1387,268485039
222-79-5145,268497569
274-27-6513,268510036
484-37-1068,268480706
358-44-8218,268497597
383-26-3713,268482953
554-93-4466,268489001
323-32-8478,268509693
237-02-1263,268496834
651-47-1970,268497205
852-52-0933,268497555
554-93-4466,268498269
298-33-3046,268505234
272-24-9625,268493040
699-06-8530,268510288
638-96-9343,268506347
581-26-5472,268501741
784-14-7719,268481147
493-92-1993,268507670
903-87-6930,268494069
335-29-6415,268493887
622-53-3302,268484122
577-47-4459,268500502
528-85-4153,268485914
883-98-9193,268506396
838-45-9343,268503330
534-70-7883,268490030
863-96-9468,268500012
552-54-9978,268496442
284-01-5241,268506424
649-53-9893,268506347
237-02-1263,268488168
528-85-4153,268494573
206-59-6235,268500656
362-49-5861,268500362
304-37-2483,268483331
475-65-9761,268493551
838-11-7607,268483135
699-06-8530,268495427
335-36-7489,268482939
560-44-9582,268482372
484-38-1830,268491269
534-70-7883,268504303
913-31-1925,268506032
699-67-1766,268484024
219-06-7487,268507376
256-31-7892,268496918
778-24-6852,268498675
305-25-0352,268481322
778-24-6852,268500243
680-93-7668,268498801
606-54-1149,268500369
885-46-4577,268505738
338-31-6051,268488756
456-46-1699,268488686
710-72-8214,268490037
237-02-1263,268481651
209-45-4933,268495140
346-96-9018,268490583
795-37-7998,268489554
632-58-9372,268502609
917-80-4656,268496449
438-07-5350,268508615
596-71-0231,268502987
859-40-9947,268482414
766-98-1818,268482099
434-76-7869,268482372
497-20-7808,268493992
763-27-9872,268493859
744-46-9190,268484598
206-59-6235,268509364
756-76-4958,268488588
586-76-9388,268487769
493-92-1993,268485851
890-81-1579,268501398
576-82-7408,268488042
620-83-1546,268500936
258-98-0727,268506501
899-42-6637,268507411
800-46-2184,268497562
801-08-0289,268506340
548-59-5017,268490135
683-87-3766,268489932
543-43-9738,268496064
399-27-1032,268500306
458-11-9205,268500390
505-69-9935,268501923
563-60-8705,268502119
510-39-9110,268483149
799-52-5205,268493964
770-22-6561,268493236
760-95-8112,268497800
622-53-3302,268490576
804-54-6976,268509126
288-59-8593,268500145
266-39-6752,268494027
761-47-7037,268493607
212-34-2732,268490541
305-25-0352,268497191
349-76-9672,268488574
893-12-3541,268484948
852-88-1263,268490415
915-74-6216,268496358
820-53-4909,268499788
903-87-6930,268505773
825-47-6075,268502504
622-53-3302,268497604
694-00-4113,268491885
528-85-4153,268504793
784-43-0212,268480972
658-56-4620,268494594
341-10-3619,268482001
653-64-4372,268494027
821-53-7430,268509539
502-24-6207,268510190
215-46-0151,268510295
581-26-5472,268492557
759-01-0406,268483387
267-89-6011,268508279
456-41-9569,268507285
502-24-6207,268492004
303-86-0371,268484486
548-59-5017,268507894
272-55-4293,268497989
853-69-5350,268505493
576-60-7800,268486348
917-80-4656,268489617
825-47-6075,268502882
673-48-8212,268487279
543-43-9738,268490793
622-53-3302,268492613
219-06-7487,268507131
274-27-6513,268493348
774-09-5550,268489960
220-58-0896,268490625
867-78-8919,268492277
506-14-4016,268504982
358-44-8218,268492774
117-66-8129,268500908
335-36-7489,268483625
896-25-8370,268487594
569-73-6017,268498962
613-15-7837,268508958
444-91-2379,268483926
323-71-3763,268480825
552-54-9978,268500446
323-32-8478,268506690
308-26-6839,268507012
272-95-2412,268509616
260-71-8148,268487153
760-58-1758,268498752
627-15-0737,268483821
820-53-4909,268493348
653-64-4372,268504205
797-43-7696,268486173
675-57-0293,268483100
272-55-4293,268493103
215-46-0151,268500621
274-27-6513,268491157
821-35-7665,268483058
302-08-4754,268485403
797-43-7696,268497345
271-53-9609,268493523
