id1,id2
185828774,185828252
185829716,185829893
185832659,185830880
185830028,185829710
185828381,185828192
185830211,185828180
185831075,185832332
185832386,185833238
185833256,185828699
185830772,185830235
185830070,185830040
185829884,185830037
185832866,185828270
185830913,185828282
185831864,185830886
185832749,185830304
185828915,185830973
185828657,185828789
185830106,185832617
185828330,185828354
185831861,185829704
185832965,185830658
185832218,185830358
185830115,185831585
185828333,185831015
185831828,185828711
185831612,185828786
185831429,185829974
185831525,185831009
185832461,185831849
185829728,185829728
185829098,185832803
185831654,185832998
185828123,185829593
185830073,185829494
185831207,185828909
185830001,185832497
185832671,185828417
185829953,185830244
185833082,185829278
185830448,185833142
185828165,185832170
185832200,185829920
185830109,185828894
185830952,185829152
185832380,185829599
185829041,185831153
185829626,185830892
185830982,185832806
185828309,185831969
185831855,185830268
185830202,185829158
185833271,185829476
185830613,185831075
185830157,185831315
185829860,185830085
185831555,185832137
185831984,185830376
185829002,185830190
185831735,185828834
185831051,185832929
185830175,185832200
185829980,185832200
185828582,185829146
185829824,185832989
185831441,185832599
185828576,185828258
185829779,185830844
185828309,185829539
185830535,185830397
185833067,185832854
185832287,185828069
185830331,185832542
185829515,185831120
185831666,185833157
185830529,185830682
185831141,185830055
185829035,185829065
185831258,185829935
185831123,185828900
185829053,185828099
185831078,185829512
185830472,185830883
185831888,185829452
185828519,185830127
185831852,185831546
185830715,185831897
185832257,185831591
185831915,185832767
185829278,185832548
185828870,185828930
185831012,185830691
185829788,185831399
185831765,185832674
185829692,185828618
185830163,185828870
185831666,185832767
185829743,185833262
185829155,185828921
185829929,185828129
185832275,185830706
185832959,185829011
185830598,185829125
185832722,185832365
185829494,185828417
185828354,185828729
185828303,185831684
185830070,185829644
185832863,185830733
185832854,185829935
185829071,185830112
185831213,185828057
185830298,185833076
185831465,185830958
185832890,185829596
185832041,185831315
185828252,185832806
185831339,185830268
185829692,185828387
185828852,185828750
185830256,185831267
185828786,185828534
185830976,185831867
185832833,185832203
185830004,185833163
185830604,185829272
185831753,185828690
185832644,185828531
185832704,185829992
185829161,185830382
185831339,185831348
185829452,185831798
185831375,185828153
185831123,185828864
185832179,185833151
185832377,185829998
185831414,185830967
185830964,185830658
185831795,185830862
185833010,185832383
185829938,185828762
185832305,185830874
185830022,185833271
185829395,185832581
185828936,185829257
185832443,185828069
185829716,185828393
185829569,185830724
185830238,185829170
185831579,185831603
185830802,185830985
185832911,185828063
185831162,185831930
185830898,185832782
185829749,185830052
185831531,185830238
185831438,185832326
185832008,185830256
185828957,185828198
185830910,185829845
185832461,185831336
185828552,185830565
185831951,185829833
185828582,185830124
185830016,185832377
185830850,185832614
185833127,185830631
185832764,185832047
185828069,185832602
185832890,185832209
185833007,185829578
185833217,185829209
185830322,185831927
185828909,185830532
185828507,185833109
185828594,185831084
185829128,185831768
185831675,185832056
185829194,185829392
185828609,185831939
185828747,185831168
185832722,185830301
185829701,185830700
185829005,185832473
185832623,185832149
185829530,185832371
185830340,185830988
185831678,185832215
185829632,185830835
185830028,185829875
185828735,185831744
185828255,185830838
185829497,185828222
185831309,185828252
185831486,185828855
185829011,185832050
185828684,185832470
185830004,185831720
185828930,185833097
185832737,185828225
